0,1944,1949,1839,1451
20,1896,1901,1818,3431
40,1805,1810,1712,3829
60,1747,1775,1711,1789
80,1767,1780,1727,431
100,1800,1818,1757,1180
120,1843,1851,1781,3642
140,1869,1898,1765,4095
160,1903,1919,1721,1913
180,1939,1963,1775,659
200,1950,1981,1791,1166
220,1955,2003,1817,3251
240,1909,2027,1887,3451
260,1883,2053,1973,1237
280,1835,2086,2087,94
300,1804,2104,2189,631
320,1734,2125,2233,3091
340,1686,2139,2237,3390
360,1689,2213,2221,1367
380,1746,2286,2217,0
400,1791,2349,2189,613
420,1865,2363,2181,3081
440,1912,2329,2163,3603
460,1957,2280,2181,1384
480,2009,2200,2216,148
500,2044,2119,2262,863
520,2070,2073,2263,3466
540,2047,2028,2276,3819
560,2031,2011,2277,1443
580,2004,2025,2287,325
600,1963,2076,2279,923
620,1845,2151,2227,3399
640,1576,2220,2147,3781
660,1271,2300,2029,1557
680,1041,2421,1909,301
700,917,2531,1784,1004
720,887,2719,1653,3391
740,979,2885,1572,3549
760,1171,2991,1523,1479
780,1387,3055,1513,147
800,1599,3095,1577,729
820,1773,3015,1747,3363
840,1868,2861,2003,4095
860,2041,2729,2255,1677
880,2160,2636,2430,233
900,2301,2599,2506,973
920,2455,2584,2533,3366
940,2596,2575,2553,3687
960,2751,2573,2614,1547
980,2891,2591,2687,452
1224,3996,4095,3211,2515
1244,4031,4095,3405,909
1264,3823,4095,3378,121
1284,2165,4095,3143,1187
1304,0,4095,2647,3832
1324,0,3507,2103,3729
1344,0,2525,1657,1465
1364,0,1676,1351,1391
1384,0,1012,1175,3116
1404,763,639,1093,4095
1424,2125,565,1132,3958
1444,3327,741,1327,1403
1464,4095,1022,1629,984
1484,4095,1331,1919,2350
1504,4095,1549,2120,4095
1524,4095,1717,2227,3224
1544,4095,1807,2281,742
1564,4095,1847,2237,379
1584,4095,1835,2136,1947
1604,4095,1769,1991,4071
1624,4095,1661,1863,3211
1644,4095,1543,1721,906
1664,4095,1431,1581,805
1684,4095,1337,1413,2327
1704,4095,1269,1253,4095
1724,4095,1171,1135,3307
1744,4095,1129,1047,983
1764,4095,1167,941,680
1784,4095,1207,866,3549
1804,4095,1303,869,4095
1824,4095,1389,965,2665
1844,4095,1519,1076,491
1864,4095,1657,1240,523
1884,4095,1714,1399,1821
1904,4095,1749,1515,3467
1924,4095,1739,1511,2729
1944,4095,1670,1379,580
1964,4095,1563,1197,635
1984,4095,1463,1023,2364
2004,4095,1388,873,3755
2024,4095,1341,778,3179
2044,3405,1333,730,1172
2064,2942,1387,781,951
2084,2927,1623,987,2101
2104,3357,2027,1363,3123
2124,4095,2501,1829,2035
2144,4095,2888,2239,0
2164,4095,3051,2453,0
2184,4095,2938,2490,825
2204,4095,2630,2425,2713
4070,4095,2549,2965,2907
4091,4095,2328,2773,2104
4111,4095,2129,2533,626
4131,4095,1966,2325,1044
4151,4095,1862,2151,2941
4171,4095,1807,2015,4003
4191,4095,1811,1956,2335
4211,4095,1875,1977,935
4231,4095,1847,2116,1273
4251,3979,1726,2341,2975
4271,2651,1651,2525,3564
4291,1267,1619,2581,2109
4311,319,1611,2531,809
4331,213,1618,2420,1149
4351,990,1623,2291,2968
4371,2163,1631,2183,3711
4391,2889,1643,2104,2311
4411,2956,1689,2020,859
4431,2775,1672,1886,1523
4451,2577,1653,1715,3272
4471,2439,1605,1546,4025
4491,2407,1571,1433,2315
4511,2431,1559,1349,1007
4531,2485,1588,1301,1445
4551,2591,1641,1247,3289
4571,2653,1703,1237,4021
4591,2675,1771,1246,3470
4611,2725,1913,1304,612
4631,2707,1999,1369,889
4651,2531,2038,1397,2719
4671,2059,2015,1421,3220
4691,1407,1983,1487,1827
4711,1069,1939,1626,547
4731,805,1880,1764,917
4751,703,1863,1827,2744
4771,807,1850,1810,3406
4791,1163,1915,1784,1909
4811,1691,2029,1775,741
4831,2235,2151,1831,1187
4851,2476,2313,2018,3015
4871,2395,2580,2407,3211
4891,2340,2915,2963,1423
4911,2771,3281,3592,0
4931,3555,3589,4095,0
4951,4095,3724,4095,1176
4971,4095,3546,4095,2230
4991,4095,3240,3826,1401
5011,4095,2857,3469,1
5031,4095,2495,3171,475
5051,4095,2139,2891,3161
6586,1997,2101,1645,3447
6607,2057,2259,1530,1623
6627,2054,2373,1305,0
6647,2171,2451,1113,279
6667,2315,2447,999,2859
6687,2395,2387,991,3967
6707,2403,2281,1035,2027
6727,2347,2191,1074,279
6747,2235,2107,1113,701
6767,2100,2039,1125,3515
6787,2020,2028,1172,4095
6807,1996,2155,1307,2149
6827,2123,2547,1723,351
6847,2517,3219,2361,125
6867,3053,4095,3039,1672
6887,3500,4095,3595,2185
6907,3501,4095,3847,823
6927,2923,4095,3846,0
6947,2615,4095,3661,0
6967,1565,3601,3355,1688
6987,334,2663,3033,3057
7007,0,1943,2769,1861
7027,0,1577,2505,829
7047,447,1427,2282,1971
7067,1336,1466,2029,3805
7087,2239,1628,1769,3829
7107,3141,1943,1551,2087
7127,4087,2313,1421,1278
7147,4095,2697,1422,1882
7167,4095,3000,1461,3274
7187,4095,3179,1519,3386
7207,4095,3177,1559,1607
7227,4095,3039,1593,725
7247,4095,2847,1595,1629
7267,3695,2542,1591,3641
7287,3006,2253,1581,3592
7307,2503,2079,1592,1842
7327,2146,2057,1621,908
7347,1887,2148,1694,1787
7367,1644,2253,1784,3229
7387,1407,2281,1855,3435
7407,1019,2216,1899,1435
7427,471,2029,1997,831
7447,0,1709,2073,1575
7467,0,1367,2070,3374
7487,0,1126,2003,3750
7507,0,1115,1965,3157
7527,0,1298,1959,2131
7547,0,1587,1977,1539
7567,0,1807,1931,3386
7744,2775,1533,1515,1191
7765,2517,1545,1567,2796
7785,2263,1685,1679,4095
7805,2264,2119,2041,2495
7825,2536,2835,2606,197
7845,2973,3710,3145,0
7865,3391,4095,3499,460
7885,3704,4095,3622,1870
7905,3723,4095,3513,1852
7925,3423,4095,3287,117
7945,3029,4095,3039,0
7965,2622,3423,2797,1363
7985,2227,2667,2597,3258
8005,1914,2083,2415,2838
8025,1657,1631,2264,1251
8045,1427,1291,2127,1293
8065,1013,1160,2039,2938
8085,0,1173,2045,4095
8105,0,1289,2137,2873
8125,0,1487,2262,1033
8145,0,1711,2383,989
8165,0,1965,2439,1971
8185,0,2284,2427,3223
8205,0,2645,2348,2639
8225,0,3021,2207,551
8245,1701,3195,2001,865
8265,3577,3303,1783,2281
8285,4095,3300,1565,3731
8305,4095,3287,1378,2847
8325,4095,3272,1263,1014
8345,4095,3180,1167,1369
8365,4095,3003,1105,2844
8385,4095,2759,1018,4024
8405,4095,2489,951,2799
8425,4095,2157,967,2102
8445,3833,1783,1071,2612
8465,2102,1252,1269,2751
8485,695,631,1544,4095
8505,0,191,1828,3133
8525,0,10,2021,1709
8545,0,55,2103,1636
8565,0,317,2083,3079
8585,0,677,2019,3945
8605,0,1069,1931,2487
8625,0,1369,1853,703
8645,0,1545,1747,1067
8665,0,1591,1637,2627
8685,792,1607,1592,3693
8705,1823,1783,1735,2508
8725,2745,2220,2157,197
8945,2899,1625,2301,1315
8966,1822,1350,2107,3519
8986,31,1055,1908,4011
9006,0,943,1895,2361
9026,0,892,1974,1383
9046,0,936,2122,1772
9066,0,1083,2237,3531
9086,0,1257,2293,3689
9106,0,1637,2247,1772
9126,0,2312,2169,367
9146,0,3208,2035,758
9166,0,4095,1779,1947
9186,692,4095,1467,2741
9206,2989,4095,1255,1625
9226,4095,4095,1112,971
9246,4095,4095,967,1678
9266,4095,4095,781,3077
9286,4095,3560,618,3513
9306,4095,1143,644,2519
9326,1421,0,869,2534
9346,0,0,1109,4095
9366,0,0,1277,4095
9386,0,0,1369,4095
9406,1387,0,1357,2583
9426,2696,0,1335,1339
9446,3909,0,1275,2029
9466,4095,0,1239,3765
9486,4095,0,1199,3781
9506,4095,333,1169,1916
9526,4095,679,1141,691
9546,4095,969,1151,1471
9566,3007,1242,1240,2940
9586,2235,1447,1339,3160
9606,1725,1623,1528,1439
9626,1623,1911,1912,3
9646,1903,2406,2509,71
9666,2477,2976,3164,883
9686,3107,3580,3742,832
9706,3695,4067,4052,0
9726,4025,4095,4087,0
9746,3960,3859,3854,0
9766,3603,3413,3566,1195
9786,3166,2981,3275,2344
9806,2760,2585,3038,1431
9826,2429,2262,2853,301
9846,2130,2022,2655,1070
9866,1805,1829,2456,3061
9886,1489,1655,2275,3683
9906,1259,1579,2147,2063
9926,1161,1595,2127,1065
11548,4095,4095,4095,1015
11568,3551,4095,4095,2067
11588,2841,4095,4095,1787
11608,2129,4095,3965,93
11628,1480,4095,3189,416
11648,551,3666,2746,2195
11668,0,2537,2467,3678
11688,0,1553,2267,2671
11708,0,743,2130,1499
11728,0,201,2075,2311
11748,0,24,2083,4095
11768,0,255,2121,4095
11788,0,845,2133,2727
11808,0,1624,2120,889
11828,0,2415,2068,1061
11848,0,3113,1965,2220
11868,2742,3647,1835,2974
11888,4095,3943,1701,2141
11908,4095,3840,1619,675
11928,4095,3545,1548,1126
11948,4095,3109,1471,2877
11968,4095,2696,1378,3837
11988,4095,2359,1352,2644
12008,4095,2065,1358,1003
12028,4095,1782,1378,1557
12048,4095,1483,1397,3041
12068,2088,1049,1425,4051
12088,0,539,1449,4024
12108,0,77,1487,2597
12128,0,0,1531,1593
12148,0,0,1549,3227
12168,0,0,1515,3830
12188,0,0,1495,2221
12208,0,0,1464,709
12228,0,0,1399,1147
12248,0,263,1239,2843
12268,0,755,1048,3340
12288,0,1115,852,2108
12308,0,1351,701,639
12328,0,1501,616,1519
12348,1685,1648,675,2936
12368,3912,1999,985,3014
12388,4095,2695,1626,1205
12408,4095,3749,2415,0
12428,4095,4095,3091,0
12448,4095,4095,3465,211
12468,4095,4095,3495,967
12488,4095,4095,3255,703
12508,4095,4095,2905,0
12528,4095,4095,2599,0
13761,0,911,2067,1622
13782,0,1139,1843,3799
13802,438,1253,1571,3835
13822,2616,1331,1365,2063
13842,4095,1403,1242,1333
13862,4095,1440,1151,2223
13882,4095,1428,1061,3851
13902,4095,1401,979,3500
13922,4095,1420,932,1883
13942,3359,1445,953,811
13962,2695,1517,999,1723
13982,2216,1595,1061,3372
14002,1886,1669,1103,3383
14022,1708,1719,1181,2927
14042,1720,1769,1275,747
14062,1799,1845,1339,1177
14082,1885,1891,1373,2975
14102,1951,1879,1391,3051
14122,1945,1839,1394,1291
14142,1867,1757,1383,503
14162,1669,1576,1362,1709
14182,737,1333,1365,3211
14202,0,1033,1432,3177
14222,0,779,1554,1628
14242,0,604,1659,779
14262,0,589,1791,1716
14282,0,818,2023,3322
14302,0,1505,2445,2829
14322,0,2553,3021,808
14342,0,3871,3613,0
14362,4095,4095,4080,0
14382,4095,4095,4095,1131
14402,4095,4095,3832,1982
14422,4095,4095,3412,927
14442,4095,4095,3003,0
14462,4095,4095,2649,748
14482,4095,4095,2357,2932
14502,4095,3165,2131,3340
14522,4095,2339,1943,1908
14542,4095,1675,1817,1270
14562,4095,1236,1720,2341
14582,4095,1013,1645,4095
14602,4095,1043,1653,3928
14622,4095,1214,1743,2103
14642,4095,1525,1880,1145
14662,4095,1831,1981,1883
14682,3101,2035,2027,3341
14702,2443,2127,1997,3119
14722,1956,2083,1929,1561
14742,1630,1951,1823,843
24029,4095,1965,1563,2061
24049,4095,1820,1487,4075
24069,4095,1615,1332,4071
24089,3928,1533,1252,1235
24109,3507,1547,1184,365
24129,3251,1582,1131,1736
24149,3119,1695,1111,4095
24169,3083,1965,1259,4095
24189,3187,2479,1659,667
24209,3341,3213,2217,0
24229,3407,3999,2735,141
24249,3187,4095,3115,1637
24269,2455,4095,3335,2165
24289,1335,3566,3383,0
24309,251,2979,3369,0
24329,0,2443,3237,442
24349,0,2044,3039,3155
24369,0,1772,2835,3876
24389,532,1640,2668,1170
24409,1814,1647,2539,346
24429,2988,1700,2454,1493
24449,3989,1743,2387,4095
24469,4095,1851,2365,3961
24489,4095,1961,2379,1433
24509,4095,2019,2361,244
24529,4095,1902,2355,1480
24549,4095,1515,2367,4095
24569,4095,879,2472,4095
24589,4055,247,2664,1771
24609,3351,0,2918,1365
24629,2683,0,3133,1877
24649,1958,0,3191,4095
24669,1106,0,3119,3861
24689,0,0,2907,1261
24709,0,0,2613,481
24729,0,255,2301,1885
24749,0,758,1995,4095
24769,0,1205,1715,3933
24789,0,1612,1519,1147
24809,0,1881,1479,169
24829,701,2023,1544,2031
24849,1966,2069,1645,4095
24869,2567,2025,1812,3519
24889,2695,1892,1926,793
24909,2635,1741,1978,105
24929,2488,1614,1975,1388
24949,2383,1530,1885,4041
24969,2347,1512,1747,3826
24989,2296,1541,1638,1134
25009,2138,1615,1525,559
36477,2038,1771,2885,1715
36497,2456,1384,2903,4095
36517,2663,951,2803,3932
36537,2687,895,2601,2273
36557,2639,1379,2335,2476
36577,2519,2515,2099,1589
36597,2294,4095,1873,4095
36617,1939,4095,1617,4095
36637,1495,4095,1365,1801
36657,1141,4095,1162,532
36677,924,4095,999,2167
36697,715,4095,803,4095
36717,421,4095,479,4095
36737,115,4095,99,2552
36757,0,4095,0,1221
36777,0,4095,0,2381
36797,0,4095,0,4095
36817,0,4095,0,4095
36837,0,4095,0,1491
36857,0,4095,0,0
36877,0,4095,0,967
36897,0,4095,0,3895
36917,0,4095,0,3799
36937,0,4095,0,751
36957,0,4095,0,0
36977,0,4095,0,850
36997,0,4095,0,4020
37017,0,2467,0,3240
37037,649,839,0,617
37057,1371,0,0,0
37077,2045,0,0,955
37097,2584,0,0,3687
37117,2863,0,0,3314
37137,3100,527,0,843
37157,3399,1161,0,0
37177,3845,1631,0,1215
37197,4095,1861,0,3736
37217,4095,1903,0,3432
37237,4095,1833,0,847
37257,4095,1663,415,0
37277,4095,1427,1573,501
37297,3580,1198,2245,2598
37317,2844,999,2504,4095
37337,2283,903,2538,2087
37357,1851,919,2501,0
37377,1550,975,2404,343
37397,1383,1045,2299,2975
37417,1342,1157,2221,3765
37437,1401,1255,2197,715
37457,1511,1379,2205,0
44160,1048,4095,3034,1896
44180,587,4095,2664,4059
44200,873,3323,2278,3573
44220,1557,2123,2011,889
44240,2347,1272,1865,541
44260,2975,824,1802,2533
44280,3399,737,1791,4095
44300,3656,953,1843,3695
44320,3768,1367,1941,487
44340,3731,1863,2042,537
44360,3544,2275,2106,2015
44380,3255,2519,2087,4095
44400,2877,2583,1978,3251
44420,2507,2457,1867,634
44440,2147,2189,1720,653
44460,1879,1883,1567,2637
44480,1741,1655,1433,4095
44500,1861,1661,1357,3469
44520,2379,2021,1369,891
44540,3237,2841,1449,839
44560,4095,3989,1448,2235
44580,4095,4095,1400,4095
44600,4095,4095,1343,4095
44620,3548,4095,1303,345
44640,2028,2699,1169,263
44660,1519,1112,967,2568
44680,1341,0,825,4095
44700,1339,0,779,3535
44720,1400,0,815,1097
44740,1139,0,910,872
44760,1022,0,1007,2887
44780,1369,0,1000,4095
44800,2069,0,953,3675
44820,2739,0,876,1323
44840,3091,0,745,1161
44860,2937,25,589,2425
44880,2414,111,483,4095
44900,1959,0,605,3299
44920,1835,0,1051,327
44940,1977,0,1831,91
44960,2251,243,2620,1461
44980,2302,741,3059,3039
45000,2087,1190,3001,2267
45020,1755,1581,2687,0
45040,1607,1847,2349,31
45060,1641,2039,2085,1917
45080,1791,2327,1893,4095
45100,1871,2535,1705,2687
45120,1558,2493,1479,303
45140,640,2219,1241,202
49086,1497,1646,1827,395
49106,3080,1881,1837,370
49126,4095,1951,1749,1939
49146,4095,1961,1645,4095
49166,4095,2197,1759,3155
49186,2843,2795,2173,110
49206,1397,3656,2776,0
49226,301,4095,3323,436
49246,0,4095,3603,2332
49266,43,4095,3555,2401
49286,1427,3881,3359,58
49306,3192,3273,3119,0
49326,4095,2841,2870,1431
49346,4095,2423,2579,4095
49366,4095,1975,2265,3684
49386,4095,1513,1957,906
49406,2856,1078,1720,840
49426,670,792,1597,2937
49446,0,743,1612,4095
49466,0,959,1767,3839
49486,0,1363,1991,905
49506,0,1845,2206,391
49526,1085,2220,2361,1897
49546,3081,2423,2439,4061
49566,4095,2449,2424,3342
49586,4095,2325,2333,653
49606,4095,2059,2193,327
49626,4095,1685,1979,2203
49646,4095,1243,1767,4095
49666,3212,853,1623,3764
49686,1432,569,1532,1133
49706,87,380,1480,859
49726,0,347,1459,2681
49746,0,463,1456,4095
49766,1033,718,1479,3315
49786,2231,1081,1476,1885
49806,3224,1493,1471,995
49826,3958,1747,1489,1719
49846,4021,1828,1443,4095
49866,3177,1705,1367,3257
49886,1637,1477,1357,439
49906,91,1251,1372,237
49926,0,1063,1403,2083
49946,0,921,1427,4095
49966,0,871,1459,3256
49986,0,892,1514,667
50006,1076,1031,1515,427
50026,2341,1221,1495,2398
50046,3210,1435,1453,4095
50066,3683,1675,1449,3291
51411,0,1747,1971,4095
51431,0,1587,2009,4095
51451,139,1501,1988,1843
51471,1557,1577,1977,295
51491,2807,1743,1945,1051
51511,3716,1938,1907,3565
51531,4029,2019,1831,4095
51551,3480,1965,1739,3165
51571,1727,1800,1631,0
51591,0,1471,1513,973
51611,0,1109,1381,4095
51631,0,811,1251,4095
51651,0,697,1208,1855
51671,0,803,1257,234
51691,0,1103,1343,1245
51711,139,1495,1407,3767
51731,1529,1831,1433,4039
51751,2488,2030,1453,1683
51771,1984,2058,1471,375
51791,379,1899,1501,1251
51811,0,1629,1516,4089
51831,0,1373,1547,3927
51851,0,1195,1597,1383
51871,0,1235,1689,0
51891,0,1467,1759,695
51911,1019,1819,1811,3219
51931,2868,2280,1845,3475
51951,4095,2719,1865,1123
51971,4095,2941,1890,0
51991,4095,2899,1895,535
52011,3016,2581,1865,2999
52031,774,2135,1863,3391
52051,0,1688,1853,1495
52071,0,1341,1862,22
52091,0,1129,1849,891
52111,0,1102,1810,3567
52131,869,1139,1727,4027
52151,2471,1299,1669,1481
52171,3737,1489,1645,0
52191,4095,1676,1621,1015
52211,4095,1809,1591,3379
52231,2989,1817,1572,3736
52251,1768,1753,1584,1403
52271,841,1597,1573,371
52291,570,1399,1559,2312
52311,1017,1291,1559,3693
52331,1980,1341,1579,3591
52351,3025,1653,1653,1471
52371,3913,2169,1781,0
52391,4095,2687,1911,873
53705,287,2034,2419,591
53726,0,1758,2351,2892
53746,0,1401,2187,4095
53766,0,1215,2068,3259
53786,0,1258,2031,761
53806,0,1450,1993,2463
53826,761,1711,1866,3830
53846,1975,1951,1721,4095
53866,2855,2125,1611,2979
53886,3110,2121,1519,413
53906,2117,1901,1437,884
53926,455,1583,1363,3356
53946,0,1272,1307,4095
53966,0,1106,1366,3063
53986,0,1107,1486,799
54006,0,1288,1605,941
54026,783,1621,1641,3177
54046,2363,2039,1635,4095
54066,3797,2443,1640,2839
54086,4095,2741,1703,165
54106,4095,2877,1805,98
54126,4095,2925,1949,1989
54146,4095,2844,2145,3543
54166,3619,2643,2367,2071
54186,1020,2351,2567,0
54206,0,2024,2703,44
54226,0,1761,2773,1964
54246,0,1590,2787,4095
54266,1174,1609,2749,2605
54286,3219,1771,2701,0
54306,4095,1949,2616,127
54326,4095,2043,2493,2409
54346,4095,1975,2313,4095
54366,4095,1726,2117,2783
54386,4095,1427,1982,358
54406,4095,1163,1907,725
54426,2761,1099,1941,2925
54446,1499,1197,2040,4095
54466,1319,1391,2173,2761
54486,2259,1720,2323,28
54506,3608,2151,2415,251
54526,4095,2533,2419,2335
54546,4095,2767,2340,3783
54566,4095,2827,2249,3340
54586,4095,2670,2119,1366
54606,4095,2303,1983,391
54626,4095,1739,1812,2854
54646,2911,1099,1625,4095
54666,1519,599,1498,3070
54686,549,359,1439,827
55883,0,1947,2309,1022
55903,0,1863,2335,0
55923,686,1880,2265,443
55943,2125,2026,2188,3144
55963,3544,2293,2131,4095
55983,4095,2591,2099,1991
56003,4095,2808,2087,0
56023,4095,2943,2086,453
56043,4095,2911,2073,3089
56063,4095,2750,2055,4095
56083,3054,2488,2066,1869
56103,1203,2195,2086,38
56123,0,1895,2119,787
56143,0,1719,2136,3531
56163,213,1768,2147,4095
56183,1705,2058,2152,2027
56203,3111,2519,2135,58
56223,4095,2995,2087,661
56243,4095,3325,1992,3189
56263,4095,3325,1850,4095
56283,4015,3042,1715,1940
56303,2222,2577,1590,187
56323,431,2021,1519,1129
56343,0,1567,1509,4095
56363,0,1315,1578,4095
56383,0,1316,1711,1913
56403,0,1517,1848,222
56423,1366,1835,1973,733
56443,2775,2333,2041,3439
56463,3977,2900,2083,4095
56483,4095,3453,2075,1869
56503,4095,3770,2060,155
56523,4095,3564,1976,533
56543,3400,2907,1839,3525
56563,1625,2147,1695,4095
56583,23,1564,1663,2390
56603,0,1593,1950,597
56623,0,2440,2565,639
56643,876,4095,3355,2328
56663,3131,4095,4095,2632
56683,4095,4095,4095,927
56703,4095,4095,4095,0
56723,4095,4095,4095,0
56743,4095,4095,4095,2285
56763,4095,4095,4042,3251
56783,4095,4095,3176,1623
56803,4095,4095,2661,59
56823,4095,4095,2349,935
56843,2327,4095,2153,4040
56863,1365,4095,2063,4095
57203,2914,1995,1771,371
57223,2932,1971,1704,1241
57243,2617,1663,1541,4095
57263,1721,1231,1444,4095
57283,554,824,1429,1849
57303,0,499,1466,1170
57323,0,277,1511,3175
57343,0,231,1555,4095
57363,0,320,1560,3995
57383,0,580,1583,1513
57403,1005,1099,1641,23
57423,2213,1862,1707,824
57443,3053,2671,1736,3420
57463,3565,3247,1723,3999
57483,3593,3384,1691,1131
57503,3148,2970,1619,0
57523,2056,2211,1489,1034
57543,861,1223,1366,4095
57563,125,543,1306,4095
57583,87,473,1508,1835
57603,907,1172,2055,0
